"β-16","4.92×10-3","2.043×10-1*","1.00×10-3",
"β-19","6.83×10-3","3.453×10-1*","2.35×10-3",
"β-21","1.85×10-2","5.277×10-1*","9.76×10-3",
"β-22","2.58×10-1","7.288×10-1*","1.88×10-1",
"β-23","7.07×10-1","7.954×10-1*","5.62×10-1",
"γ1","1.54×10-1","1.550×10-1","2.40×10-2",
"ce-K, γ1","5.01×10-2","8.117×10-2","4.07×10-3",
"ce-L, γ1","5.68×10-2","1.420×10-1a","8.07×10-3",
"ce-M, γ1","1.44×10-2","1.519×10-1a","2.19×10-3",
"γ15","1.07×10-2","4.779×10-1","5.14×10-3",
"γ23","1.37×10-2","6.330×10-1","8.67×10-3",
"γ24","1.60×10-3","6.349×10-1","1.01×10-3",
"γ35","4.44×10-3","8.294×10-1","3.68×10-3",
"γ38","5.94×10-3","9.313×10-1","5.54×10-3",
"γ50","9.08×10-4","1.132","1.02×10-3",
"γ61","7.04×10-4","1.308","9.22×10-4",
"γ72","1.03×10-3","1.610","1.66×10-3",
"Kα2 X-ray","1.39×10-2","6.148×10-2","8.58×10-4",
"Kα1 X-ray","2.37×10-2","6.300×10-2","1.49×10-3",

