"α10","2.30×10-3","5.285","1.21×10-2",
"α13","1.40×10-3","5.442","7.62×10-3",
"α18","1.20×10-2","5.579","6.69×10-2",
"α20","1.10×10-2","5.609","6.16×10-2",
"α21","4.40×10-2","5.637","2.48×10-1",
"α22","1.30×10-2","5.682","7.38×10-2",
"α23","3.10×10-2","5.723","1.77×10-1",
"α24","8.70×10-3","5.730","4.98×10-2",
"α26","1.32×10-2","5.731","7.56×10-2",
"α25","8.00×10-2","5.731","4.58×10-1",
"α recoil","8.00×10-2","1.019×10-1","8.15×10-3",
"α27","8.60×10-2","5.790","4.97×10-1",
"α recoil","8.60×10-2","1.029×10-1","8.85×10-3",
"α28","1.81×10-1","5.792","1.04",
"α recoil","1.81×10-1","1.029×10-1","1.86×10-2",
"α29","3.00×10-3","5.804","1.74×10-2",
"α33","5.07×10-1","5.829","2.95",
"α recoil","5.07×10-1","1.036×10-1","5.25×10-2",

