"β-3","9.91×10-1","1.379×10-1*","1.36×10-1",
"β-12","3.49×10-3","9.496×10-1*","3.32×10-3",
"γ8","2.28×10-2","2.214×10-1","5.05×10-3",
"γ15","7.17×10-1","5.543×10-1","3.97×10-1",
"γ17","1.22×10-2","6.063×10-1","7.45×10-3",
"γ18","4.37×10-1","6.191×10-1","2.70×10-1",
"γ19","2.84×10-1","6.983×10-1","1.98×10-1",
"γ21","8.36×10-1","7.765×10-1","6.49×10-1",
"γ22","2.41×10-1","8.278×10-1","2.00×10-1",
"γ24","3.77×10-3","9.520×10-1","3.59×10-3",
"γ25","1.30×10-2","1.007","1.31×10-2",
"γ26","2.75×10-1","1.044","2.88×10-1",
"γ28","6.43×10-3","1.081","6.96×10-3",
"γ32","2.69×10-1","1.317","3.54×10-1",
"γ35","1.63×10-1","1.474","2.41×10-1",
"γ36","7.39×10-3","1.650","1.21×10-2",

