"β-14","3.04×10-1","1.994×10-1*","6.06×10-2",
"β-16","4.92×10-1","2.252×10-1*","1.10×10-1",
"β-17","5.80×10-3","2.273×10-1*","1.31×10-3",
"β-18","1.95×10-1","2.642×10-1*","5.15×10-2",
"γ5","4.66×10-2","6.967×10-2","3.25×10-3",
"ce-K, γ5","2.04×10-1","2.115×10-2","4.33×10-3",
"ce-L, γ5","3.35×10-2","6.162×10-2a","2.06×10-3",
"ce-M, γ5","7.33×10-3","6.787×10-2a","4.98×10-4",
"γ10","7.63×10-3","9.743×10-2","7.43×10-4",
"γ11","2.91×10-1","1.031×10-1","3.00×10-2",
"ce-K, γ11","4.14×10-1","5.466×10-2","2.26×10-2",
"ce-L, γ11","6.20×10-2","9.512×10-2a","5.90×10-3",
"ce-M, γ11","1.34×10-2","1.013×10-1a","1.36×10-3",
"L X-ray","1.07×10-1","5.849×10-3*","6.28×10-4",
"Kα2 X-ray","1.67×10-1","4.090×10-2","6.86×10-3",
"Kα1 X-ray","3.00×10-1","4.154×10-2","1.24×10-2",
"Kβ3 X-ray","3.00×10-2","4.690×10-2*","1.40×10-3",
"Kβ1 X-ray","5.80×10-2","4.703×10-2*","2.73×10-3",
"Kβ2 X-ray","1.92×10-2","4.824×10-2*","9.28×10-4",
"Auger-L","5.32×10-1","4.689×10-3*","2.49×10-3",
"Auger-K","4.47×10-2","3.370×10-2*","1.50×10-3",

