"β-6","1.21×10-1","1.888×10-1*","2.30×10-2",
"β-7","3.15×10-3","1.943×10-1*","6.12×10-4",
"β-9","2.88×10-1","3.041×10-1*","8.75×10-2",
"β-10","5.85×10-1","3.269×10-1*","1.91×10-1",
"γ1","2.48×10-2","5.799×10-2","1.44×10-3",
"ce-K, γ1","2.18×10-1","6.004×10-3","1.31×10-3",
"ce-L, γ1","3.73×10-2","4.929×10-2a","1.84×10-3",
"ce-M, γ1","8.27×10-3","5.603×10-2a","4.63×10-4",
"γ5","2.16×10-3","2.260×10-1","4.90×10-4",
"γ11","2.39×10-3","3.482×10-1","8.33×10-4",
"γ12","1.17×10-1","3.635×10-1","4.28×10-2",
"γ16","6.83×10-4","5.808×10-1","3.96×10-4",
"Kα2 X-ray","5.92×10-2","4.374×10-2","2.58×10-3",
"Kα1 X-ray","1.05×10-1","4.448×10-2","4.68×10-3",
"Kβ3 X-ray","1.08×10-2","5.022×10-2*","5.43×10-4",
"Kβ1 X-ray","2.09×10-2","5.038×10-2*","1.05×10-3",
"Auger-L","1.83×10-1","4.999×10-3*","9.18×10-4",
"Auger-K","1.44×10-2","3.599×10-2*","5.18×10-4",

