"β-5","1.70×10-2","8.219×10-2*","1.39×10-3",
"β-12","1.50×10-1","4.147×10-1*","6.22×10-2",
"β-13","8.29×10-1","4.537×10-1*","3.76×10-1",
"γ7","3.80×10-2","9.469×10-2","3.59×10-3",
"ce-K, γ7","9.84×10-2","3.908×10-2","3.84×10-3",
"ce-L, γ7","1.60×10-2","8.530×10-2a","1.37×10-3",
"γ22","5.34×10-3","2.797×10-1","1.49×10-3",
"γ24","9.04×10-3","3.616×10-1","3.26×10-3",
"ce-K, γ24","2.08×10-3","3.060×10-1","6.39×10-4",
"γ34","1.72×10-3","5.458×10-1","9.39×10-4",
"γ36","1.36×10-3","5.657×10-1","7.71×10-4",
"γ40","1.00×10-3","6.206×10-1","6.22×10-4",
"γ41","6.12×10-3","6.334×10-1","3.88×10-3",
"γ44","5.77×10-3","7.153×10-1","4.13×10-3",
"γ50","6.30×10-4","9.950×10-1","6.27×10-4",
"γ53","9.99×10-4","1.079","1.07×10-3",
"Kα2 X-ray","2.82×10-2","4.670×10-2","1.31×10-3",
"Kα1 X-ray","4.98×10-2","4.754×10-2","2.36×10-3",
"Kβ1 X-ray","1.01×10-2","5.387×10-2*","5.47×10-4",

