"β-4","9.43×10-3","1.151×10-1*","1.08×10-3",
"β-6","4.99×10-1","6.513×10-1*","3.25×10-1",
"β-7","4.88×10-1","6.939×10-1*","3.38×10-1",
"γ1","6.56×10-2","8.057×10-2","5.28×10-3",
"ce-K, γ1","1.09×10-1","2.309×10-2","2.53×10-3",
"ce-L, γ1","2.56×10-1","7.082×10-2a","1.81×10-2",
"ce-M, γ1","6.26×10-2","7.836×10-2a","4.90×10-3",
"ce-N, γ1","1.41×10-2","8.012×10-2a","1.13×10-3",
"γ8","9.22×10-3","1.379","1.27×10-2",
"γ12","1.82×10-3","1.581","2.88×10-3",
"γ13","1.19×10-3","1.662","1.98×10-3",
"Kα2 X-ray","2.96×10-2","4.822×10-2","1.42×10-3",
"Kα1 X-ray","5.21×10-2","4.912×10-2","2.56×10-3",
"Auger-L","2.73×10-1","5.499×10-3*","1.50×10-3",

