"β-1","5.01×10-2","4.088×10-2*","2.04×10-3",
"β-2","8.14×10-1","9.328×10-2*","7.60×10-2",
"β-3","1.36×10-1","1.713×10-1*","2.34×10-2",
"γ6","5.96×10-3","1.151×10-1","6.87×10-4",
"ce-K, γ6","3.29×10-2","2.465×10-2","8.13×10-4",
"ce-L, γ6","5.79×10-3","9.879×10-2a","5.72×10-4",
"ce-M, γ6","1.36×10-3","1.111×10-1a","1.51×10-4",
"ce-N, γ6","3.48×10-4","1.142×10-1a","3.98×10-5",
"ce-O, γ6","7.13×10-5","1.150×10-1a","8.21×10-6",
"ce-P, γ6","8.48×10-6","1.151×10-1","9.77×10-7",
"L X-ray","1.36×10-1","1.080×10-2*","1.47×10-3",
"Kα2 X-ray","9.85×10-2","7.481×10-2","7.37×10-3",
"Kα1 X-ray","1.64×10-1","7.710×10-2","1.26×10-2",
"Kβ3 X-ray","1.98×10-2","8.683×10-2*","1.72×10-3",
"Kβ1 X-ray","3.80×10-2","8.734×10-2*","3.32×10-3",
"Kβ2 X-ray","1.39×10-2","8.978×10-2*","1.25×10-3",
"Auger-L","2.12×10-1","8.149×10-3*","1.73×10-3",
"Auger-K","1.28×10-2","5.820×10-2*","7.45×10-4",

