"α13","1.35×10-3","5.282","7.13×10-3",
"α14","2.00×10-3","5.287","1.05×10-2",
"α16","1.30×10-3","5.365","6.97×10-3",
"α17","3.90×10-3","5.423","2.11×10-2",
"α18","1.80×10-2","5.433","9.78×10-2",
"α20","1.00×10-2","5.501","5.50×10-2",
"α21","1.40×10-3","5.527","7.73×10-3",
"α22","8.90×10-2","5.539","4.93×10-1",
"α recoil","8.90×10-2","9.936×10-2","8.84×10-3",
"α23","2.50×10-1","5.606","1.40",
"α recoil","2.50×10-1","1.005×10-1","2.51×10-2",
"α24","5.12×10-1","5.716","2.92",
"α recoil","5.12×10-1","1.025×10-1","5.24×10-2",
"α25","8.90×10-2","5.747","5.11×10-1",
"α recoil","8.90×10-2","1.030×10-1","9.17×10-3",
"α26","3.10×10-3","5.857","1.81×10-2",
"α27","1.00×10-2","5.871","5.87×10-2",
"γ21","6.02×10-2","1.542×10-1","9.28×10-3",
"ce-K, γ21","1.86×10-1","5.580×10-2","1.03×10-2",
"γ35","1.33×10-1","2.694×10-1","3.58×10-2",
"ce-K, γ35","8.47×10-2","1.710×10-1","1.44×10-2",
"γ39","3.64×10-2","3.238×10-1","1.17×10-2",
"γ42","2.60×10-2","3.382×10-1","8.79×10-3",
"Kα2 X-ray","1.47×10-1","8.106×10-2","1.19×10-2",
"Kα1 X-ray","2.43×10-1","8.378×10-2","2.03×10-2",

