"β-4","1.69×10-2","1.711×10-1*","2.89×10-3",
"β-11","1.77×10-2","4.334×10-1*","7.67×10-3",
"β-14","7.50×10-2","6.884×10-1*","5.16×10-2",
"β-15","8.10×10-3","7.460×10-1*","6.04×10-3",
"β-16","3.52×10-1","9.932×10-1*","3.49×10-1",
"β-17","5.10×10-1","1.263*","6.44×10-1",
"γ10","4.50×10-1","5.590×10-1","2.51×10-1",
"γ11","1.20×10-2","5.632×10-1","6.76×10-3",
"γ16","6.16×10-2","6.570×10-1","4.05×10-2",
"γ18","3.64×10-3","6.653×10-1","2.42×10-3",
"γ42","1.44×10-2","1.212","1.74×10-2",
"γ43","3.42×10-2","1.216","4.15×10-2",
"γ44","1.21×10-2","1.228","1.49×10-2",
"γ46","2.79×10-3","1.439","4.01×10-3",
"γ47","1.08×10-3","1.453","1.56×10-3",

