"β+1","2.27×10-1","3.955×10-1*","8.99×10-2",
"γ±","4.54×10-1","5.109×10-1","2.32×10-1",
"γ1","9.90×10-1","9.091×10-1","9.00×10-1",
"ce-K, γ1","7.35×10-3","8.921×10-1","6.56×10-3",
"ce-L, γ1","8.97×10-4","9.067×10-1a","8.13×10-4",
"ce-M, γ1","1.54×10-4","9.087×10-1a","1.40×10-4",
"ce-N, γ1","2.06×10-5","9.091×10-1a","1.88×10-5",
"γ2","7.32×10-4","1.620","1.18×10-3",
"γ3","1.05×10-3","1.657","1.75×10-3",
"γ4","7.44×10-3","1.713","1.27×10-2",
"γ5","1.22×10-3","1.744","2.14×10-3",
"L X-ray","2.36×10-2","1.919×10-3*","4.54×10-5",
"Kα2 X-ray","1.42×10-1","1.488×10-2","2.12×10-3",
"Kα1 X-ray","2.73×10-1","1.495×10-2","4.09×10-3",
"Kβ3 X-ray","2.07×10-2","1.672×10-2*","3.46×10-4",
"Kβ1 X-ray","4.01×10-2","1.673×10-2*","6.72×10-4",
"Kβ2 X-ray","7.70×10-3","1.701×10-2*","1.31×10-4",
"Auger-L","7.94×10-1","1.909×10-3*","1.51×10-3",
"Auger-K","1.93×10-1","1.269×10-2*","2.45×10-3",

