"β-1","1.40×10-8","2.422×10-2*","3.39×10-10",
"β-2","1.15×10-4","1.845×10-1*","2.12×10-5",
"β-3","9.99×10-1","9.324×10-1*","9.32×10-1",
"ce-K, γ1","1.02×10-4","1.742","1.78×10-4",
"ce-L, γ1","1.26×10-5","1.758a","2.22×10-5",
"γ2","1.40×10-8","2.186","3.06×10-8",
"ce-K, γ2","1.71×10-12","2.168","3.71×10-12",
"ce-L, γ2","1.85×10-13","2.183a","4.05×10-13",
"ce-M, γ2","3.20×10-14","2.185a","7.00×10-14",
"ce-N, γ2","4.57×10-15","2.186a","1.00×10-14",
"L X-ray","3.84×10-6","2.039×10-3*","7.84×10-9",
"Kα2 X-ray","2.19×10-5","1.569×10-2","3.43×10-7",
"Kα1 X-ray","4.19×10-5","1.577×10-2","6.61×10-7",
"Kβ3 X-ray","3.24×10-6","1.765×10-2*","5.72×10-8",
"Kβ1 X-ray","6.29×10-6","1.766×10-2*","1.11×10-7",
"Kβ2 X-ray","1.27×10-6","1.796×10-2*","2.29×10-8",
"Auger-L","1.17×10-4","2.020×10-3*","2.37×10-7",
"Auger-K","2.72×10-5","1.339×10-2*","3.64×10-7",

